Item,Ticket,Zone_CO,Facility_Name,Start_Date,Time1,End_Date,Time2,Open_Closed,Outage_Type_and_Cause
1104,588967,PL       ,BRKR BUXMONT  69 KV   BUXMONT QUAK2INS  DIS     ,07-APR-2015,0900,10-APR-2015,1500,O,                           
1104,588967,PL       ,BRKR BUXMONT  69 KV   BUXMONT QUAK1INS  DIS     ,07-APR-2015,0900,10-APR-2015,1500,O,                           
1104,588967,PL       ,BRKR BUXMONT  69 KV   BUXMONT BLGL1INS  DIS     ,07-APR-2015,0900,10-APR-2015,1500,O,                           
1104,588967,PL       ,BRKR BUXMONT  69 KV   BUXMONT BLGL2INS  DIS     ,07-APR-2015,0900,10-APR-2015,1500,O,                           
1104,588967,PL       ,BRKR BUXMONT  69 KV   BUXMONT DUM1  DIS         ,07-APR-2015,0900,10-APR-2015,1500,O,                           
1104,588967,PL       ,BRKR RDGEROAD 69 KV   RDGEROAD QUAK2  DIS       ,07-APR-2015,0900,10-APR-2015,1500,O,                           
1104,588967,PL       ,LINE BUXMONT  69 KV   BUXMONT-RDGEROAD BUX-RID2 ,07-APR-2015,0900,10-APR-2015,1500,O,                           
1104,588967,PL       ,BRKR BUXMONT  69 KV   BUXMONT SFLD_2 CB         ,07-APR-2015,0900,10-APR-2015,1500,O,                           
1105,589320,PN       ,LINE NMESHOPP 230 KV  NMESHOPP-OXBOW ETL        ,07-APR-2015,0900,07-APR-2015,1200,C, Received 02/10/2015 12:51 
1105,589320,PL       ,LINE LACKAWAN 230 KV  LACKAWAN-OXBOW ETP 2004   ,07-APR-2015,0900,07-APR-2015,1200,C,Continuous                
1105,589320,         ,                                                ,           ,    ,           ,    , ,Relay Maintenance Impact 
1106,589589,DAYTON   ,XFMR STUART2  138 KV  STUART2  .  8     XFORMER ,07-APR-2015,0900,07-APR-2015,1600,O, Received 03/25/2015 16:12 
1106,589589,AEP      ,BRKR RAVEN    69 KV   RAVEN    SW8          DIS ,07-APR-2015,0900,07-APR-2015,1600,O,Continuous                
1106,589589,DAYTON   ,BRKR STUART2  138 KV  STUART2  J            CB  ,07-APR-2015,0900,07-APR-2015,1600,O,Hot Spot Repair           
1106,589589,AEP      ,LINE RAVEN    69 KV   RAVEN-STUART2             ,07-APR-2015,0900,07-APR-2015,1600,O,                           
1107,589705,AEP      ,BRKR RAVEN    69 KV   RAVEN    SW8          DIS ,07-APR-2015,0900,07-APR-2015,1600,O, Received 03/26/2015 08:35 
1107,589705,DAYTON   ,BRKR STUART2  138 KV  STUART2  J            CB  ,07-APR-2015,0900,07-APR-2015,1600,O,Continuous                
1107,589705,DAYTON   ,BRKR STUART2  69 KV   STUART2  TRBR         DIS ,07-APR-2015,0900,07-APR-2015,1600,O,Other                     
1107,589705,AEP      ,LINE RAVEN    69 KV   RAVEN-STUART2             ,07-APR-2015,0900,07-APR-2015,1600,O,                           
1108,589716,JC-S     ,BRKR OYSTERCR 230 KV  OYSTERCR BK 8  DIS        ,07-APR-2015,0900,07-APR-2015,1530,O, Received 02/17/2015 14:33 
1108,589716,         ,                                                ,           ,    ,           ,    , ,Continuous                
1108,589716,         ,                                                ,           ,    ,           ,    , ,CB Maintenance            
1109,590256,AEP      ,BRKR HANCOCK  138 KV  HANCOCK  C            CB  ,07-APR-2015,0900,07-APR-2015,1200,C, Received 02/23/2015 11:08 
1109,590256,AEP      ,LINE HANCOCK  138 KV  HANCOCK-MATTFUN2          ,07-APR-2015,0900,07-APR-2015,1200,C,Continuous                
1109,590256,         ,                                                ,           ,    ,           ,    , ,Relay Maintenance No impa
1110,594166,DPL      ,XFMR LORETTO  138 KV  LORETTO  AT1      XFORMER ,07-APR-2015,0900,09-APR-2015,1600,O, Received 03/25/2015 08:42 
1110,594166,DPL      ,BRKR LORETTO  69 KV   LORETTO  SWL-7434         ,07-APR-2015,0900,09-APR-2015,1600,O,Continuous                
1110,594166,DPL      ,BRKR LORETTO  138 KV  LORETTO  SWH-8443         ,07-APR-2015,0900,09-APR-2015,1600,O,Inspection/Maintenance    
1111,594858,DOM-C    ,XFMR ELMONT4  230 KV  ELMONT4  TX3      XFORMER ,07-APR-2015,0930,10-APR-2015,1600,O, Received 03/30/2015 09:56 
1111,594858,DOM-C    ,BRKR ELMONT4  230 KV  ELMONT4  21692        CB  ,07-APR-2015,0930,10-APR-2015,1600,O,Continuous                
1111,594858,DOM-C    ,BRKR ELMONT4  230 KV  ELMONT4  21699        DIS ,07-APR-2015,0930,10-APR-2015,1600,O,Safety Clearance          
1111,594858,DOM-C    ,BRKR ELMONT4  230 KV  ELMONT4  216T2075     CB  ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1111,594858,DOM-C    ,BRKR ELMONT4  230 KV  ELMONT4  H394M        DIS ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1111,594858,DOM-C    ,LINE ELMONT4  230 KV  ELMONT4 -LAKESID4 216A    ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1112,594996,PL       ,LINE HUMMELST 230 KV  HUMMELST-NHERSHEY 1099    ,07-APR-2015,0900,07-APR-2015,1130,C, Received 03/30/2015 15:24 
1112,594996,         ,                                                ,           ,    ,           ,    , ,Daily - No Weekends       
1112,594996,         ,                                                ,           ,    ,           ,    , ,Relay Maintenance No impa
1113,514393,AEP      ,LINE SCOTTSVI 138 KV  SCOTTSVI-BREMO_VP         ,07-APR-2015,0930,18-APR-2015,1600,O, Received 03/18/2015 13:10 
1113,514393,DOM-W    ,XFMR BREMO4   138 KV  BREMO4   TX8A     XFORMER ,07-APR-2015,0930,18-APR-2015,1600,O,Continuous                
1113,514393,DOM-W    ,XFMR BREMO4   138 KV  BREMO4   TX8B     XFORMER ,07-APR-2015,0930,18-APR-2015,1600,O,Relay Replacement Impact 
1113,514393,DOM-W    ,BRKR BREMO4   115 KV  BREMO4   822          CB  ,07-APR-2015,0930,18-APR-2015,1600,O,                           
1114,540990,AEP      ,LINE SCOTTSVI 138 KV  SCOTTSVI-BREMO_VP         ,07-APR-2015,0930,10-APR-2015,1600,O, Received 03/18/2015 13:10 
1114,540990,DOM-W    ,XFMR BREMO4   115 KV  BREMO4   AUXSS4   XFORMER ,07-APR-2015,0930,10-APR-2015,1600,O,Continuous                
1114,540990,DOM-W    ,XFMR BREMO4   138 KV  BREMO4   TX8A     XFORMER ,07-APR-2015,0930,10-APR-2015,1600,O,New Construction          
1114,540990,DOM-W    ,XFMR BREMO4   138 KV  BREMO4   TX8B     XFORMER ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1114,540990,DOM-W    ,BRKR BREMO4   115 KV  BREMO4   522          CB  ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1114,540990,DOM-W    ,BRKR BREMO4   115 KV  BREMO4   822          CB  ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1114,540990,DOM-W    ,BRKR BREMO4   115 KV  BREMO4   SX42         CB  ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1114,540990,DOM-W    ,BRKR BREMO4   115 KV  BREMO4   T342         CB  ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1114,540990,DOM-W    ,CAP  BREMO4   115 KV  BREMO4   SC3      CAP     ,07-APR-2015,0930,10-APR-2015,1600,O,                           
1114,540990,DOM-W    ,LINE BREMO4   115 KV  BREMO4  -CUNNGHDP 5A      ,07-APR-2015,0930,10-APR-2015,1600,C,                           
1115,574602,AEP      ,LINE SCOTTSVI 138 KV  SCOTTSVI-BREMO_VP         ,07-APR-2015,0930,18-APR-2015,1600,O, Received 03/18/2015 13:09 
1115,574602,DOM-W    ,XFMR BREMO4   138 KV  BREMO4   TX8A     XFORMER ,07-APR-2015,0930,18-APR-2015,1600,O,Continuous                
1115,574602,DOM-W    ,XFMR BREMO4   138 KV  BREMO4   TX8B     XFORMER ,07-APR-2015,0930,18-APR-2015,1600,O,Relay Replacement Impact 
1115,574602,DOM-W    ,BRKR BREMO4   115 KV  BREMO4   822          CB  ,07-APR-2015,0930,18-APR-2015,1600,O,                           
1116,586293,DOM-W    ,BRKR GOLDDALE 115 KV  GOLDDALE 3739 DIS         ,07-APR-2015,0930,08-APR-2015,0800,O, Received 02/23/2015 15:17 
1116,586293,DOM-W    ,LINE OAKGREEN 115 KV  OAKGREEN-UNIONVIL 153D    ,07-APR-2015,0930,08-APR-2015,0800,O,Continuous                
1116,586293,         ,                                                ,           ,    ,           ,    , ,New Construction          
1116,586293,         ,                                                ,           ,    ,           ,    , ,Cut-in                    
1117,593820,AEP      ,BRKR BREED    345 KV  BREED    D            CB  ,07-APR-2015,1000,07-APR-2015,1100,C, Received 03/23/2015 21:01 
1117,593820,AEP      ,BRKR BREED    345 KV  BREED    D1           CB  ,07-APR-2015,1000,07-APR-2015,1100,C,Continuous                
1117,593820,AEP      ,LINE BREED    345 KV  BREED-WCASEY TIE          ,07-APR-2015,1000,07-APR-2015,1100,C,Other                     
1118,589398,APSS     ,LINE CHARLERO 138 KV  CHARLERO-VANCEVILL WA-CH  ,07-APR-2015,1100,07-APR-2015,1600,O, Received 03/12/2015 15:30 
1118,589398,APSS     ,BRKR CHARLERO 138 KV  CHARLERO DUM16394         ,07-APR-2015,1100,07-APR-2015,1600,O,Continuous                
1118,589398,         ,                                                ,           ,    ,           ,    , ,CB Maintenance            
1119,590257,AEP      ,BRKR JEFFERSO 765 KV  JEFFERSO A            CB  ,07-APR-2015,1100,07-APR-2015,1400,O, Received 02/23/2015 11:08 
1119,590257,         ,                                                ,           ,    ,           ,    , ,Continuous                
1119,590257,         ,                                                ,           ,    ,           ,    , ,Inspection/Maintenance    
1120,593821,AEP      ,BRKR BREED    345 KV  BREED    A            CB  ,07-APR-2015,1100,07-APR-2015,1200,C, Received 03/23/2015 21:01 
1120,593821,AEP      ,BRKR BREED    345 KV  BREED    A2           CB  ,07-APR-2015,1100,07-APR-2015,1200,C,Continuous                
1120,593821,AEP      ,LINE BREED    345 KV  BREED-WHEATLND TIE        ,07-APR-2015,1100,07-APR-2015,1200,C,Other                     
1121,582297,PL       ,BRKR COPPERST 69 KV   COPPERST H2-D1TIE     CB  ,07-APR-2015,1130,08-APR-2015,1400,O, Received 11/26/2014 12:54 
1121,582297,         ,                                                ,           ,    ,           ,    , ,Continuous                
1121,582297,         ,                                                ,           ,    ,           ,    , ,CB Maintenance            
1122,584075,APSS     ,BRKR PRUNTYTO 138 KV  PRUNTYTO P18          CB  ,07-APR-2015,1130,07-APR-2015,1600,O, Received 03/23/2015 09:37 
1122,584075,         ,                                                ,           ,    ,           ,    , ,Continuous                
1122,584075,         ,                                                ,           ,    ,           ,    , ,Inspection/Maintenance    
1123,591155,ME       ,BRKR NHERSHEY 230 KV  NHERSHEY B1_81 DIS        ,07-APR-2015,1200,07-APR-2015,1600,O, Received 03/12/2015 13:51 
1123,591155,ME       ,XFMR NHERSHEY 230 KV  NHERSHEY 1BANK XFORMER    ,07-APR-2015,1200,07-APR-2015,1600,O,Daily - No Weekends       
1123,591155,         ,                                                ,           ,    ,           ,    , ,Relay Maintenance No impa
1124,592023,AEP      ,BRKR MARQUIS2 345 KV  MARQUIS2 D2           CB  ,07-APR-2015,1230,07-APR-2015,1400,C, Received 03/05/2015 13:15 
1124,592023,         ,                                                ,           ,    ,           ,    , ,Continuous                
1124,592023,         ,                                                ,           ,    ,           ,    , ,Inspection/Maintenance    
1125,590258,AEP      ,BRKR HANCOCK  138 KV  HANCOCK  B            CB  ,07-APR-2015,1300,07-APR-2015,1600,C, Received 02/23/2015 11:08 
1125,590258,         ,                                                ,           ,    ,           ,    , ,Continuous                
1125,590258,         ,                                                ,           ,    ,           ,    , ,Relay Maintenance No impa
1126,593825,AEP      ,BRKR DARWIN   345 KV  DARWIN   A            CB  ,07-APR-2015,1300,07-APR-2015,1500,C, Received 03/23/2015 21:01 
1126,593825,         ,                                                ,           ,    ,           ,    , ,Continuous                
1126,593825,         ,                                                ,           ,    ,           ,    , ,Other                     
1127,590259,AEP      ,BRKR JEFFERSO 765 KV  JEFFERSO A2           CB  ,07-APR-2015,1430,07-APR-2015,1730,O, Received 02/23/2015 11:08 
1127,590259,         ,                                                ,           ,    ,           ,    , ,Continuous                
1127,590259,         ,                                                ,           ,    ,           ,    , ,Inspection/Maintenance    
1128,592935,FECL     ,XFMR FOX      345 KV  FOX      2        XFORMER ,07-APR-2015,1900,13-APR-2015,0800,O, Received 03/17/2015 13:49 
1128,592935,FECL     ,XFMR FOX      345 KV  FOX      3        XFORMER ,07-APR-2015,1900,13-APR-2015,0800,O,Continuous                
1128,592935,FECL     ,BRKR FOX      345 KV  FOX 345KV S234_TIE        ,07-APR-2015,1900,13-APR-2015,0800,O,Other                     
1128,592935,FECL     ,BRKR FOX      345 KV  FOX 345KV S245_TIE        ,07-APR-2015,1900,13-APR-2015,0800,O,                           
1128,592935,FECL     ,BRKR FOX      138 KV  FOX      Q2           CB  ,07-APR-2015,1900,13-APR-2015,0800,O,                           
1128,592935,FECL     ,BRKR FOX      138 KV  FOX      Q3           CB  ,07-APR-2015,1900,13-APR-2015,0800,O,                           
1128,592935,FECL     ,CAP  FOX      138 KV  FOX Q2 FXC CAP            ,07-APR-2015,1900,13-APR-2015,0800,O,                           
1128,592935,FECL     ,CAP  FOX      138 KV  FOX Q3 FXC CAP            ,07-APR-2015,1900,13-APR-2015,0800,O,                           
1129,592710,DEOK     ,BRKR 08ASHLD7 138 KV  08ASHLD7 868          CB  ,08-APR-2015,0001,08-APR-2015,1700,O, Received 03/12/2015 12:40 
1129,592710,         ,                                                ,           ,    ,           ,    , ,Continuous                
1129,592710,         ,                                                ,           ,    ,           ,    , ,CB Maintenance            
1130,589044,BC       ,XFMR WESTPORT 115 KV  WESTPORT 110-5    XFORMER ,08-APR-2015,0100,08-APR-2015,1800,O, Received 02/06/2015 15:22 
1130,589044,BC       ,BRKR PUMPHREY 115 KV  PUMPHREY 110521 OCB       ,08-APR-2015,0100,08-APR-2015,1800,O,Continuous                
1130,589044,BC       ,BRKR PUMPHREY 115 KV  PUMPHREY DIS 110521       ,08-APR-2015,0100,08-APR-2015,1800,O,Inspection/Maintenance    
1130,589044,BC       ,BRKR WESTPORT 34 KV   WESTPORT 110-5 BB BKR     ,08-APR-2015,0100,08-APR-2015,1800,O,                           
1130,589044,BC       ,BRKR WESTPORT 34 KV   WESTPORT 110-5 RB BKR     ,08-APR-2015,0100,08-APR-2015,1800,O,                           
1130,589044,BC       ,BRKR WESTPORT 34 KV   WESTPORT 110-5 LS DIS     ,08-APR-2015,0100,08-APR-2015,1800,O,                           
1130,589044,BC       ,LINE PUMPHREY 115 KV  PUMPHREY-WESTPORT 110521  ,08-APR-2015,0100,08-APR-2015,1800,O,                           
1130,589044,BC       ,BRKR WESTPORT 115 KV  WESTPORT 5DIS         DIS ,08-APR-2015,0100,08-APR-2015,1800,O,                           
1130,589044,BC       ,BRKR WESTPORT 115 KV  WESTPORT DUM10521     DIS ,08-APR-2015,0100,08-APR-2015,1800,O,                           
1130,589044,BC       ,BRKR PUMPHREY 115 KV  PUMPHREY 521_535      CB  ,08-APR-2015,0100,08-APR-2015,1800,O,                           
1130,589044,BC       ,BRKR WESTPORT 115 KV  WESTPORT 585-521      CB  ,08-APR-2015,0100,08-APR-2015,1800,O,                           
1131,573603,PS-S     ,BRKR LUMBERTO 230 KV  LUMBERTO SECT  1-2     CB ,08-APR-2015,0200,10-APR-2015,1500,O, Received 01/27/2015 11:14 
1131,573603,PS-S     ,BRKR LUMBERTO 230 KV  LUMBERTO T-2246        DIS,08-APR-2015,0200,10-APR-2015,1500,O,Continuous                
1131,573603,PS-S     ,BRKR LUMBERTO 230 KV  LUMBERTO TRAN  T-2     DIS,08-APR-2015,0200,10-APR-2015,1500,O,Other                     
1131,573603,JC-S     ,BRKR COOKSTOW 230 KV  COOKSTOW T2246   DIS      ,08-APR-2015,0200,10-APR-2015,1500,O,                           
1131,573603,JC-S     ,LINE COOKSTOW 230 KV  COOKSTOW-LUMBERTO T-2246  ,08-APR-2015,0200,10-APR-2015,1500,O,                           
1131,573603,PS-S     ,XFMR LUMBERTO 230 KV  LUMBERTO T-220-6  XFORMER ,08-APR-2015,0200,10-APR-2015,1500,O,                           
1131,573603,PS-S     ,BRKR LUMBERTO 230 KV  LUMBERTO 220-6CB      CB  ,08-APR-2015,0200,10-APR-2015,1500,O,                           
1132,574278,PS-N     ,BRKR BERGEN   138 KV  BERGEN   F-1306SC3-4   DIS,08-APR-2015,0200,09-APR-2015,1500,O, Received 02/25/2015 15:59 
1132,574278,PS-N     ,BRKR HOMESTEA 138 KV  HOMESTEA F-1306SC2-3   DIS,08-APR-2015,0200,09-APR-2015,1500,O,Continuous                
1132,574278,PS-N     ,LINE BERGEN   138 KV  BERGEN-HOMESTEAD F-1306-4 ,08-APR-2015,0200,09-APR-2015,1500,O,Cut-in                    
1133,579107,PS-N     ,BRKR BERGEN   230 KV  BERGEN 220-2DS DIS        ,08-APR-2015,0200,10-APR-2015,2000,O, Received 01/26/2015 15:25 
1133,579107,PS-N     ,XFMR BERGEN   230 KV  BERGEN 220-2XF XFORMER    ,08-APR-2015,0200,10-APR-2015,2000,O,Continuous                
1133,579107,PS-N     ,BRKR BERGEN   26 KV   BERGEN   23TRANSF     DIS ,08-APR-2015,0200,10-APR-2015,2000,C,Relay Maintenance No impa
1134,591472,PS-S     ,XFMR NEWFREED 500 KV  NEWFREED 500-3    XFORMER ,08-APR-2015,0200,08-APR-2015,2300,O, Received 03/03/2015 09:36 
1134,591472,PS-S     ,BRKR NEWFREED 230 KV  NEWFREED 230   1-7     CB ,08-APR-2015,0200,08-APR-2015,2300,O,Continuous                
1134,591472,PS-S     ,BRKR NEWFREED 230 KV  NEWFREED 230   7-8     CB ,08-APR-2015,0200,08-APR-2015,2300,O,Gas/Oil Testing/Replacemen
1134,591472,PS-S     ,BRKR NEWFREED 500 KV  NEWFREED 500-3_HSD     DIS,08-APR-2015,0200,08-APR-2015,2300,O,                           
1134,591472,PS-S     ,BRKR NEWFREED 230 KV  NEWFREED DUM19446         ,08-APR-2015,0200,08-APR-2015,2300,O,                           
1135,591475,PS-N     ,CAP  BRUNSWIC 230 KV  BRUNSWIC CAP1     CAP     ,08-APR-2015,0200,08-APR-2015,1800,O, Received 03/03/2015 09:36 
1135,591475,PS-N     ,BRKR BRUNSWIC 230 KV  BRUNSWIC 102H60A      DIS ,08-APR-2015,0200,08-APR-2015,1800,O,Continuous                
1135,591475,         ,                                                ,           ,    ,           ,    , ,CB Maintenance            
1136,591476,PS-N     ,BRKR ESSEX    138 KV  ESSEX    SECT 1-3     CB  ,08-APR-2015,0200,08-APR-2015,1600,O, Received 03/03/2015 09:40 
1136,591476,         ,                                                ,           ,    ,           ,    , ,Continuous                
1136,591476,         ,                                                ,           ,    ,           ,    , ,CB Maintenance            
1137,591477,PS-N     ,BRKR MAYWOOD  230 KV  MAYWOOD  SECT  1-2     CB ,08-APR-2015,0200,08-APR-2015,1800,O, Received 03/03/2015 09:36 
1137,591477,         ,                                                ,           ,    ,           ,    , ,Continuous                
1137,591477,         ,                                                ,           ,    ,           ,    , ,CB Maintenance            
1138,590062,JC-S     ,BRKR COOKSTOW 230 KV  COOKSTOW T2246   DIS      ,08-APR-2015,0500,10-APR-2015,1500,O, Received 02/19/2015 15:20 
1138,590062,JC-S     ,LINE COOKSTOW 230 KV  COOKSTOW-LUMBERTO T-2246  ,08-APR-2015,0500,10-APR-2015,1500,O,Continuous                
1138,590062,JC-S     ,BRKR COOKSTOW 230 KV  COOKSTOW B37          CB  ,08-APR-2015,0500,08-APR-2015,0600,O,Switching                 
1138,590062,JC-S     ,BRKR COOKSTOW 230 KV  COOKSTOW B37          CB  ,10-APR-2015,1400,10-APR-2015,1500,O,                           
1138,590062,JC-S     ,BRKR COOKSTOW 230 KV  COOKSTOW B66 CB           ,08-APR-2015,0500,08-APR-2015,0600,O,                           
1138,590062,JC-S     ,BRKR COOKSTOW 230 KV  COOKSTOW B66 CB           ,10-APR-2015,1400,10-APR-2015,1500,O,                           
1139,544074,BC       ,BRKR DEERPARK 115 KV  DEERPARK 110571-B     DIS ,08-APR-2015,0600,10-APR-2015,1800,O, Received 10/02/2014 08:06 
1139,544074,BC       ,BRKR WESMSTER 115 KV  WESMSTER 110571CS     DIS ,08-APR-2015,0600,10-APR-2015,1800,O,Daily - No Weekends       
1139,544074,BC       ,LINE DEERPARK 115 KV  DEERPARK-WESMSTER DEE-WES ,08-APR-2015,0600,10-APR-2015,1800,O,Inspection/Maintenance    
1140,582301,PL       ,BRKR HUMMELST 69 KV   HUMMELST HARR_1        CB ,08-APR-2015,0600,10-APR-2015,1000,O, Received 03/13/2015 09:58 
1140,582301,PL       ,BRKR HUMMELST 69 KV   HUMMELST TRAN_1-E      CB ,08-APR-2015,0600,10-APR-2015,1000,O,Continuous                
1140,582301,PL       ,BRKR HUMMELST 69 KV   HUMMELST TRAN_2-E      CB ,08-APR-2015,0600,10-APR-2015,1000,O,Inspection/Maintenance    
1140,582301,PL       ,BRKR HUMMELST 69 KV   HUMMELST TRAN_3-E      CB ,08-APR-2015,0600,10-APR-2015,1000,O,                           
1140,582301,PL       ,BRKR HUMMELST 69 KV   HUMMELST COPP1-E      CB  ,08-APR-2015,0600,10-APR-2015,1000,O,                           
1140,582301,PL       ,BRKR HUMMELST 69 KV   HUMMELST COPP2-E      CB  ,08-APR-2015,0600,10-APR-2015,1000,O,                           
1140,582301,PL       ,BRKR HUMMELST 69 KV   HUMMELST HERS CB          ,08-APR-2015,0600,10-APR-2015,1000,O,                           
1140,582301,PL       ,LINE HUMMELST 69 KV   HUMMELST-SWATARA HUM1-SWA ,08-APR-2015,0600,10-APR-2015,1000,O,                           
1141,582887,COMED    ,BRKR 150 CALU 138 KV  150 CALUM 38L94401 CB     ,08-APR-2015,0600,10-APR-2015,2000,O, Received 03/24/2015 10:48 
1141,582887,         ,                                                ,           ,    ,           ,    , ,Continuous                
1141,582887,         ,                                                ,           ,    ,           ,    , ,Inspection/Maintenance    
1141,582887,         ,                                                ,           ,    ,           ,    , ,Relay Maintenance No impa
1142,583206,AE       ,BRKR LAUREL   69 KV   LAUREL   OCB C            ,08-APR-2015,0600,08-APR-2015,1800,O, Received 12/08/2014 14:44 
1142,583206,AE       ,BRKR WOODSTOW 69 KV   WOODSTOW OCB S            ,08-APR-2015,0600,08-APR-2015,1800,O,Continuous                
1142,583206,AE       ,LINE LAUREL   69 KV   LAUREL-WOODSTOW 0740      ,08-APR-2015,0600,08-APR-2015,1800,O,CB Maintenance            
1143,583293,AE       ,LINE CEDAR    69 KV   CEDAR-MOTTS 0770          ,08-APR-2015,0600,08-APR-2015,1800,O, Received 02/25/2015 10:04 
1143,583293,AE       ,BRKR CEDAR    69 KV   CEDAR    GCB B        CB  ,08-APR-2015,0600,08-APR-2015,1800,O,Continuous                
1143,583293,AE       ,BRKR MOTTS    69 KV   MOTTS    F            CB  ,08-APR-2015,0600,08-APR-2015,1800,O,Relay Maintenance Impact 
1144,583344,AE       ,BRKR CARDIFF  69 KV   CARDIFF OCB G             ,08-APR-2015,0600,08-APR-2015,1800,O, Received 03/13/2015 10:15 
1144,583344,AE       ,BRKR ABSECON  69 KV   ABSECON CARDFDUM DIS      ,08-APR-2015,0600,08-APR-2015,1800,O,Continuous                
1144,583344,AE       ,LINE ABSECON  69 KV   ABSECON-CARDIFF 0781      ,08-APR-2015,0600,08-APR-2015,1800,O,Relay Maintenance Impact 
1145,590754,COMED    ,BRKR 9 JOLIET 138 KV  9 JOLIET  38L0902 B1 CB   ,08-APR-2015,0600,10-APR-2015,1900,O, Received 02/25/2015 14:38 
1145,590754,COMED    ,LINE 9 JOLIET 138 KV  9 JOLIET-0902     0902 1  ,08-APR-2015,0600,10-APR-2015,1900,O,Continuous                
1145,590754,         ,                                                ,           ,    ,           ,    , ,Relay Maintenance No impa
1146,591240,COMED    ,BRKR 11703    138 KV  11703    0332D        DIS ,08-APR-2015,0600,08-APR-2015,2000,O, Received 03/24/2015 07:18 
1146,591240,         ,                                                ,           ,    ,           ,    , ,Continuous                
1146,591240,         ,                                                ,           ,    ,           ,    , ,Switching                 
1147,595013,COMED    ,BRKR 20 BRAID 345 KV  20 BRAIDW 45BT4-7 CB      ,08-APR-2015,0600,08-APR-2015,2000,C, Received 03/30/2015 17:51 
1147,595013,COMED    ,BRKR 20 BRAID 345 KV  20 BRAIDW 45BT7-11 CB     ,08-APR-2015,0600,08-APR-2015,2000,C,Continuous                
1147,595013,COMED    ,BRKR 86 DAVIS 138 KV  86 DAVIS  38TR83 B D      ,08-APR-2015,0600,08-APR-2015,2000,C,Other                     
1147,595013,COMED    ,BRKR 86 DAVIS 345 KV  86 DAVIS  45BT3-4 CB      ,08-APR-2015,0600,08-APR-2015,2000,C,                           
1148,578000,DPL      ,BRKR EDGEMOOR 138 KV  EDGEMOOR 3-7          CB  ,08-APR-2015,0700,08-APR-2015,1700,O, Received 10/15/2014 17:09 
1148,578000,DPL      ,BRKR EDGEMOOR 138 KV  EDGEMOOR T6 DIS       DIS ,08-APR-2015,0700,08-APR-2015,1700,O,Continuous                
1148,578000,         ,                                                ,           ,    ,           ,    , ,Other                     
1149,584868,DUQU     ,BRKR JLMIDLAN 138 KV  JLMIDLAN T2 DIS       DIS ,08-APR-2015,0700,08-APR-2015,1700,O, Received 02/05/2015 12:24 
1149,584868,DUQU     ,BRKR JLMIDLAN 138 KV  JLMIDLAN BEAV CB      CB  ,08-APR-2015,0700,08-APR-2015,1700,O,Continuous                
1149,584868,DUQU     ,BRKR JLMIDLAN 138 KV  JLMIDLAN BUSTIE       CB  ,08-APR-2015,0700,08-APR-2015,1700,O,Inspection/Maintenance    
1149,584868,DUQU     ,LINE BEAV DUQ 138 KV  BEAV DUQ-JLMIDLAN Z-33    ,08-APR-2015,0700,08-APR-2015,1700,O,                           
1150,589434,DPL      ,BRKR BASINRD  69 KV   BASINRD  70            CB ,08-APR-2015,0700,08-APR-2015,1600,O, Received 02/11/2015 11:31 
1150,589434,         ,                                                ,           ,    ,           ,    , ,Continuous                
1150,589434,         ,                                                ,           ,    ,           ,    , ,CB Maintenance            
1151,590260,AEP      ,XFMR VANBUREN 138 KV  VANBUREN T1       XFORMER ,08-APR-2015,0700,08-APR-2015,1600,C, Received 02/23/2015 11:08 
1151,590260,         ,                                                ,           ,    ,           ,    , ,Continuous                
1151,590260,         ,                                                ,           ,    ,           ,    , ,Inspection/Maintenance    
1152,590261,AEP      ,BRKR HACIENDA 138 KV  HACIENDA U            DIS ,08-APR-2015,0700,08-APR-2015,1100,C, Received 02/23/2015 11:08 
1152,590261,AEP      ,BRKR HACIENDA 138 KV  HACIENDA W            DIS ,08-APR-2015,0700,08-APR-2015,1100,C,Continuous                
1152,590261,AEP      ,LINE HACIENDA 138 KV  HACIENDA-ROBISONP         ,08-APR-2015,0700,08-APR-2015,1100,C,Relay Maintenance Impact 
1153,590262,AEP      ,BRKR DARDENRO 138 KV  DARDENRO Y            DIS ,08-APR-2015,0700,08-APR-2015,0900,C, Received 02/23/2015 11:08 
1153,590262,AEP      ,LINE DARDENRO 138 KV  DARDENRO-PINEROAD         ,08-APR-2015,0700,08-APR-2015,0900,C,Continuous                
1153,590262,         ,                                                ,           ,    ,           ,    , ,Inspection/Maintenance    
1154,591023,DOM-E    ,BRKR PENINSLA 115 KV  PENINSLA 7602         CB  ,08-APR-2015,0700,09-APR-2015,1600,O, Received 02/27/2015 15:16 
1154,591023,DOM-E    ,LINE SEAFORD  115 KV  SEAFORD -PENINSLA 76A     ,08-APR-2015,0700,09-APR-2015,1600,O,Continuous                
1154,591023,         ,                                                ,           ,    ,           ,    , ,Relay Maintenance No impa
